,0
0,1.0
1,8.51
2,34.9091
3,34.9063
4,16.1766
5,7.8868
6,15.1746
7,3.355
8,0.0
9,0.0
10,-0.0
11,-0.0
12,0.0
13,-0.0
14,-0.0
15,16192.8871
16,16194.8348
17,-0.5713
18,-0.8463
19,16.1999
20,9.0625
21,0.2806
22,-2.1328
23,-0.0
24,0.793
25,0.0522
26,0.0522
27,34.8379
28,34.8353
29,0.0
30,0.0
31,30.801
32,30.801
33,28.0
34,5.0
35,63.0
36,72.0
37,0.0
38,303.0
39,7230.0
40,3.774
41,3.774
42,510.0
43,2.0
44,34.0
